619,1.4476e+06,42,1.8618e+05,42,523
620,8.6721e+05,43,1.2609e+05,43,411
624,8.009e+05,44,1.1496e+05,44,374
656,27760,45,2744,45,169
656,35018,45,3658,45,182
656,35788,45,3766,45,185
656,39265,45,4185,45,192
656,41660,45,4450,45,195
656,42942,45,4580,45,197
656,44048,45,4707,45,202
656,1.8632e+05,45,26345,45,231
656,2.1365e+05,45,29601,45,243
656,7.0506e+05,45,99094,45,342
656,8.0998e+05,45,1.1647e+05,45,379
656,8.51e+05,45,1.2297e+05,45,402
656,1.3615e+06,45,1.6675e+05,45,494
658,31927,46,3264,46,178
658,5.5083e+05,46,76255,46,306
660,15270,47,1261,47,154
667,1.2498e+06,48,1.4254e+05,48,448
667,1.3073e+06,48,1.5425e+05,48,473
682,6.6725e+05,49,93304,49,330
682,8.6206e+05,49,1.2509e+05,49,406
682,1.2465e+06,49,1.419e+05,49,446
691,1.4509e+06,50,1.8689e+05,50,524
696,38460,51,4081,51,190
696,1.947e+05,51,27398,51,240
696,1.9622e+05,51,27554,51,241
696,2.3387e+05,51,32180,51,253
696,5.7617e+05,51,79742,51,310
696,5.7778e+05,51,79943,51,311
696,5.8503e+05,51,80802,51,313
696,5.907e+05,51,81503,51,319
696,5.9266e+05,51,81748,51,320
696,6.0742e+05,51,83890,51,322
696,6.3225e+05,51,87657,51,326
696,6.8019e+05,51,95407,51,333
696,6.8547e+05,51,96235,51,335
696,7.5284e+05,51,1.0711e+05,51,352
696,7.6331e+05,51,1.0894e+05,51,356
696,7.8134e+05,51,1.1186e+05,51,366
696,7.999e+05,51,1.1481e+05,51,371
696,8.0988e+05,51,1.1646e+05,51,378
696,8.109e+05,51,1.1661e+05,51,381
696,8.4021e+05,51,1.2126e+05,51,399
696,8.6275e+05,51,1.2521e+05,51,407
696,8.8208e+05,51,1.2895e+05,51,417
696,9.1823e+05,51,1.3336e+05,51,433
696,1.2924e+06,51,1.5136e+05,51,466
696,1.2945e+06,51,1.5175e+05,51,467
696,1.3172e+06,51,1.563e+05,51,477
696,1.3338e+06,51,1.5993e+05,51,484
696,1.3444e+06,51,1.6261e+05,51,488
696,1.3658e+06,51,1.6778e+05,51,497
696,1.3825e+06,51,1.7146e+05,51,502
696,1.3888e+06,51,1.7284e+05,51,504
