Source,Target,Type,Id,Label,timeset,Weight
9453,34686,Undirected,82514,,,1
6366,34686,Undirected,78669,,,1
6338,34686,Undirected,78615,,,1
6338,27007,Undirected,78610,,,1
9730,30507,Undirected,82824,,,1
6367,30507,Undirected,78676,,,1
6366,30507,Undirected,78662,,,1
6338,30507,Undirected,78612,,,1
5589,39653,Undirected,77703,,,1
5589,36195,Undirected,77702,,,1
5589,35143,Undirected,77701,,,1
5589,34686,Undirected,77700,,,1
5589,34664,Undirected,77699,,,1
5589,32975,Undirected,77698,,,1
5589,30507,Undirected,77697,,,1
5589,28025,Undirected,77696,,,1
7271,27651,Undirected,79971,,,1
6480,27651,Undirected,78845,,,1
7271,33566,Undirected,79976,,,1
6480,33566,Undirected,78848,,,1
7271,35538,Undirected,79977,,,1
6480,35538,Undirected,78849,,,1
9437,36195,Undirected,82486,,,1
7083,36195,Undirected,79713,,,1
5743,35538,Undirected,77890,,,1
5743,33566,Undirected,77889,,,1
5743,27651,Undirected,77887,,,1
7271,31103,Undirected,79973,,,1
6480,31103,Undirected,78847,,,1
17724,26584,Undirected,93114,,,1
17724,28215,Undirected,93115,,,1
10848,28215,Undirected,83998,,,1
10305,28215,Undirected,83416,,,1
7271,28215,Undirected,79972,,,1
7265,28215,Undirected,79959,,,1
6950,28215,Undirected,79550,,,1
6762,28215,Undirected,79250,,,1
6480,28215,Undirected,78846,,,1
6382,28215,Undirected,78698,,,1
5743,28215,Undirected,77888,,,1
5613,28215,Undirected,77718,,,1
7271,36709,Undirected,79978,,,1
6480,36709,Undirected,78850,,,1
6203,36709,Undirected,78448,,,1
6171,36709,Undirected,78406,,,1
9453,39207,Undirected,82517,,,1
9453,38715,Undirected,82516,,,1
9453,35110,Undirected,82515,,,1
9453,24484,Undirected,82513,,,1
9453,24113,Undirected,82511,,,1
9453,24076,Undirected,82510,,,1
5426,39900,Undirected,77498,,,1
5426,36709,Undirected,77497,,,1
5426,31103,Undirected,77496,,,1
5426,28215,Undirected,77495,,,1
10530,34687,Undirected,83653,,,1
7548,26046,Undirected,80298,,,1
7548,24375,Undirected,80297,,,1
12698,36692,Undirected,86172,,,1
11951,36692,Undirected,85256,,,1
12575,38911,Undirected,86024,,,1
10691,38911,Undirected,83812,,,1
12575,26993,Undirected,86023,,,1
11951,26993,Undirected,85249,,,1
10703,38643,Undirected,83827,,,1
11395,26046,Undirected,84647,,,1
9998,26046,Undirected,83099,,,1
12881,39681,Undirected,86414,,,1
12304,39681,Undirected,85687,,,1
11520,39681,Undirected,84773,,,1
10901,39681,Undirected,84058,,,1
10373,39681,Undirected,83488,,,1
8535,39681,Undirected,81380,,,1
11520,26007,Undirected,84769,,,1
11395,24375,Undirected,84646,,,1
11086,27526,Undirected,84297,,,1
10318,27526,Undirected,83432,,,1
8528,36692,Undirected,81368,,,1
12572,35690,Undirected,86010,,,1
12928,26568,Undirected,86463,,,1
12575,26568,Undirected,86022,,,1
12009,26568,Undirected,85326,,,1
10544,26568,Undirected,83663,,,1
11510,33932,Undirected,84764,,,1
9416,35587,Undirected,82447,,,1
12304,32972,Undirected,85685,,,1
11520,32972,Undirected,84772,,,1
11521,34928,Undirected,84775,,,1
12572,39320,Undirected,86011,,,1
9235,39320,Undirected,82265,,,1
8486,39320,Undirected,81314,,,1
17036,35587,Undirected,92104,,,1
12569,35587,Undirected,86009,,,1
11738,35587,Undirected,85049,,,1
10901,35587,Undirected,84057,,,1
10324,35587,Undirected,83437,,,1
12862,21730,Undirected,86382,,,1
11042,21730,Undirected,84250,,,1
9235,21730,Undirected,82261,,,1
11951,35394,Undirected,85254,,,1
12919,37656,Undirected,86458,,,1
12916,37656,Undirected,86456,,,1
11086,37656,Undirected,84298,,,1
10318,37656,Undirected,83435,,,1
12554,34687,Undirected,85993,,,1
12304,34687,Undirected,85686,,,1
11521,34687,Undirected,84774,,,1
11395,33718,Undirected,84649,,,1
8491,39347,Undirected,81327,,,1
8491,38911,Undirected,81326,,,1
8491,37656,Undirected,81325,,,1
8491,27526,Undirected,81324,,,1
8491,26993,Undirected,81323,,,1
8491,26568,Undirected,81322,,,1
8491,26316,Undirected,81321,,,1
8491,26045,Undirected,81320,,,1
10318,35507,Undirected,83434,,,1
10318,33932,Undirected,83433,,,1
12881,30703,Undirected,86413,,,1
11951,30703,Undirected,85251,,,1
11395,30703,Undirected,84648,,,1
10901,30703,Undirected,84056,,,1
8486,21730,Undirected,81313,,,1
10324,38935,Undirected,83438,,,1
8535,32972,Undirected,81379,,,1
8535,31396,Undirected,81378,,,1
10544,38411,Undirected,83664,,,1
17036,38935,Undirected,92105,,,1
12554,30113,Undirected,85992,,,1
11510,35507,Undirected,84765,,,1
9998,35123,Undirected,83101,,,1
9998,33443,Undirected,83100,,,1
12862,35690,Undirected,86383,,,1
