OrgFrstDriver,DesFrstDriver
1310410,632972
310604,311569
1378178,716589
1476216,616921
532556,1254530
589430,1279041
337211,1240270
299259,321578
374864,1134602
1470401,1417289
625326,1351245
643333,658646
158226,150165
1500856,261428
458030,444338
206545,1394124
1383354,1241412
354779,346441
121208,1411506
440898,1341816
1072244,1442106
1279577,651148
133520,681792
1231563,707456
794214,3862
239632,162104
469829,472888
218109,1470074
228973,808300
345417,349360
1257592,1240340
1400308,129672
547613,1418378
829524,1306800
611871,598816
1319911,743684
47125,40008
1261057,352094
152641,160336
173233,167933
62000,61996
394609,769013
1287475,453926
859866,298487
631750,636162
1325089,714652
1250669,63570
564947,866750
316192,318048
94097,76038
1265454,1472891
214859,220897
160825,172554
1230157,351557
579821,1248835
1463213,762094
586655,1417204
677812,1313312
793635,971366
136780,812734
150185,816895
1267830,799820
802861,634711
1496845,908353
556407,36698
1362550,847821
232331,527381
1268871,127399
432939,1382902
411118,403939
1269501,1372508
1438058,790305
299647,298272
189678,177087
839105,372103
1338047,287470
411193,806352
1405093,243958
1071934,1321486
1278417,1341703
570664,570648
336813,321799
586834,585263
258018,751173
774133,1364080
1006824,689373
1359771,1358090
846609,568136
880406,1452575
1394057,801957
616935,593954
815097,1478096
912239,195846
717002,809979
1355044,569074
152003,605254
1293285,812388
916487,1397177
862618,343865
182436,1371055
690966,716351
1239295,592893
1429197,715987
269639,261248
887224,170956
1071890,522880
1457630,469739
742705,860290
1445900,1360126
1350829,1288477
1233520,368568
464551,1311350
853767,706238
1396002,106884
347365,355061
1454019,361417
1296989,827502
1312971,156164
1234307,853035
883496,615261
229200,241007
864461,655394
28966,545526
626499,22551
731587,711935
167208,1311921
512237,541678
657708,137555
138583,739038
850501,93922
48924,52117
351359,1345640
636341,68867
398922,1449843
307676,872246
240771,973669
1399836,852913
571932,384815
668519,668564
233719,1457996
806552,356394
1435870,1348014
765333,704685
569503,550534
1345788,624601
114168,124612
1383503,1257427
624321,1452484
857558,640706
869020,867249
370110,361819
511381,496528
15035,38457
1427277,1415900
820771,1232351
912149,889685
768613,244533
103724,109956
941050,807444
1450831,733084
116527,109874
1448312,1349952
1310515,338415
